user_id,book_id,rating
10008,1003,4.0
10008,1014,5.0
10008,1019,5.0
10008,1042,4.0
10008,1074,4.0
10008,1105,4.0
10008,1117,3.0
10008,1123,3.0
10008,1128,5.0
10008,1179,4.0
10008,1191,4.0
10008,1204,4.0
10008,1208,4.0
10008,1213,4.0
10008,1262,4.0
10008,1288,3.0
10008,1339,3.0
10008,1360,5.0
10008,1423,3.0
10008,1498,4.0
10008,1520,5.0
10008,1555,4.0
10008,1574,5.0
10008,1620,5.0
10008,1641,5.0
10008,1659,5.0
10008,1727,4.0
10008,1795,3.0
10008,1800,5.0
10008,1881,5.0
10008,1900,3.0
10008,1980,4.0
10008,2041,4.0
10008,2045,5.0
10008,2084,4.0
10008,2155,4.0
10008,2196,5.0
10008,2210,4.0
10008,2228,5.0
10008,2352,4.0
10008,2491,5.0
10008,2513,5.0
10008,2536,3.0
10008,2569,3.0
10008,2646,5.0
10008,2755,3.0
10008,2817,4.0
10008,2873,5.0
10008,2900,5.0
10008,3127,5.0
10008,3205,4.0
10008,3243,4.0
10008,3403,5.0
10008,3414,5.0
10008,3469,4.0
10008,3541,4.0
10008,360,5.0
10008,367,5.0
10008,3834,4.0
10008,3937,3.0
10008,3974,4.0
10008,3978,4.0
10008,4034,4.0
10008,4070,5.0
10008,4175,3.0
10008,4326,4.0
10008,4361,5.0
10008,4371,4.0
10008,4515,4.0
10008,4524,3.0
10008,4753,5.0
10008,492,4.0
10008,4933,4.0
10008,503,4.0
10008,5055,3.0
10008,5141,4.0
10008,5192,4.0
10008,5310,5.0
10008,5326,4.0
10008,5367,4.0
10008,5381,3.0
10008,5676,3.0
10008,5903,4.0
10008,5982,3.0
10008,599,5.0
10008,609,3.0
10008,6123,3.0
10008,6188,3.0
10008,6318,3.0
10008,6323,4.0
10008,633,3.0
10008,6558,4.0
10008,693,4.0
10008,699,4.0
10008,751,5.0
10008,760,4.0
10008,789,5.0
10008,7904,4.0
10008,818,5.0
10008,824,5.0
10008,838,5.0
10008,865,3.0
10008,890,5.0
10008,8961,4.0
10008,897,4.0
10008,911,3.0
10008,9277,4.0
10008,929,4.0
10008,9313,4.0
10008,9447,3.0
10008,9463,4.0
10008,9559,3.0
10008,967,4.0
10008,9699,4.0
10008,972,4.0
10008,974,4.0
10087,1105,4.0
10087,1168,3.0
10087,1262,4.0
10087,1272,4.0
10087,1286,2.0
10087,1303,2.0
10087,1305,4.0
10087,1391,3.0
10087,141,4.0
10087,1420,4.0
10087,1497,3.0
10087,151,4.0
10087,1520,4.0
10087,1526,4.0
10087,1530,4.0
10087,1579,3.0
10087,159,3.0
10087,1641,3.0
10087,1679,4.0
10087,193,4.0
10087,195,4.0
10087,1969,3.0
10087,2007,5.0
10087,2061,3.0
10087,211,3.0
10087,214,3.0
10087,2163,4.0
10087,2196,3.0
10087,238,4.0
10087,247,4.0
10087,2481,5.0
10087,256,3.0
10087,259,1.0
10087,276,5.0
10087,2837,2.0
10087,2886,4.0
10087,295,3.0
10087,300,4.0
10087,3063,3.0
10087,314,5.0
10087,329,3.0
10087,330,4.0
10087,3404,4.0
10087,345,2.0
10087,356,3.0
10087,360,5.0
10087,3613,5.0
10087,362,2.0
10087,3625,4.0
10087,366,3.0
10087,368,3.0
10087,371,4.0
10087,3739,3.0
10087,392,2.0
10087,396,4.0
10087,399,2.0
10087,400,3.0
10087,403,4.0
10087,4049,4.0
10087,408,5.0
10087,41,3.0
10087,412,3.0
10087,4330,5.0
10087,4385,3.0
10087,442,3.0
10087,447,2.0
10087,457,1.0
10087,469,2.0
10087,472,5.0
10087,4727,4.0
10087,4766,2.0
10087,479,4.0
10087,480,3.0
10087,4811,5.0
10087,486,3.0
10087,489,3.0
10087,4906,4.0
10087,492,4.0
10087,508,3.0
10087,513,3.0
10087,5143,4.0
10087,5209,2.0
10087,526,2.0
10087,544,4.0
10087,546,5.0
10087,551,4.0
10087,570,4.0
10087,573,3.0
10087,575,3.0
10087,582,3.0
10087,5950,5.0
10087,599,4.0
10087,606,5.0
10087,608,1.0
10087,610,5.0
10087,6173,3.0
10087,637,4.0
10087,663,4.0
10087,665,2.0
10087,680,3.0
10087,682,4.0
10087,687,4.0
10087,6875,4.0
10087,7175,3.0
10087,751,3.0
10087,760,5.0
10087,7622,3.0
10087,765,4.0
10087,772,5.0
10087,789,4.0
10087,790,3.0
10087,838,3.0
10087,858,3.0
10087,868,3.0
10087,870,5.0
10087,890,4.0
10087,91,2.0
10087,914,2.0
10087,937,4.0
10087,974,4.0
10087,9766,5.0
10111,10,5.0
10111,100,3.0
10111,11,5.0
10111,111,1.0
10111,1124,5.0
10111,113,4.0
10111,1139,4.0
10111,1142,5.0
10111,115,5.0
10111,117,4.0
10111,118,3.0
10111,119,4.0
10111,1231,4.0
10111,1248,4.0
10111,125,3.0
10111,129,4.0
10111,1299,5.0
10111,131,4.0
10111,132,3.0
10111,133,2.0
10111,1339,2.0
10111,136,2.0
10111,14,4.0
10111,1465,4.0
10111,148,3.0
10111,150,4.0
10111,1503,5.0
10111,1519,5.0
10111,154,4.0
10111,1571,3.0
10111,16,4.0
10111,168,4.0
10111,1681,3.0
10111,172,4.0
10111,176,5.0
10111,177,4.0
10111,18,5.0
10111,180,4.0
10111,184,2.0
10111,1936,5.0
10111,196,5.0
10111,2,5.0
10111,2025,5.0
10111,205,3.0
10111,2089,5.0
10111,21,4.0
10111,219,5.0
10111,2190,4.0
10111,22,1.0
10111,2274,5.0
10111,23,5.0
10111,232,5.0
10111,233,5.0
10111,2352,5.0
10111,237,4.0
10111,24,4.0
10111,243,5.0
10111,245,5.0
10111,2464,4.0
10111,2510,4.0
10111,255,5.0
10111,256,5.0
10111,26,2.0
10111,268,4.0
10111,27,4.0
10111,271,4.0
10111,2710,4.0
10111,272,4.0
10111,273,5.0
10111,2770,5.0
10111,278,5.0
10111,2787,4.0
10111,28,5.0
10111,287,5.0
