book_id,rating_count,mean_rating,rating_std,title,authors,original_publication_year,average_rating,language_code
1,100,4.24,0.8889898932513401,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,2008.0,4.34,eng
10,100,4.18,0.9574798571080628,Pride and Prejudice,Jane Austen,1813.0,4.24,eng
100,100,4.01,1.0777361233229361,The Poisonwood Bible,Barbara Kingsolver,1998.0,4.02,eng
1000,46,3.891304347826087,1.0588937806254897,"Shadow and Bone (Shadow and Bone, #1)",Leigh Bardugo,2012.0,4.05,eng
10000,2,4.0,1.4142135623730951,The First World War,John Keegan,1998.0,4.0,
1001,32,3.21875,0.8321900759926455,The Dinner,"Herman Koch, Sam Garrett",2009.0,3.22,eng
1002,37,4.324324324324325,0.8836180061433679,"Champion (Legend, #3)",Marie Lu,2013.0,4.37,eng
1003,64,3.890625,0.8929563436954977,Contact,Carl Sagan,1985.0,4.11,eng
1004,25,3.76,1.2000000000000002,"Lola and the Boy Next Door (Anna and the French Kiss, #2)",Stephanie Perkins,2011.0,4.0,en-US
1005,43,3.4186046511627906,0.9317816558956105,White Teeth,Zadie Smith,1999.0,3.75,en-US
1006,11,3.4545454545454546,0.8201995322647243,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,"Chris Kyle, Scott McEwen, Jim DeFelice",2012.0,3.97,eng
1007,30,3.7666666666666666,0.9714309861845773,My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,2004.0,3.79,en-GB
1008,28,4.107142857142857,0.9164862737363227,"The Power of Six (Lorien Legacies, #2)",Pittacus Lore,2011.0,4.17,eng
1009,40,3.7,0.8828857114526091,The Interestings,Meg Wolitzer,2013.0,3.54,eng
101,100,3.95,1.067187372905475,Me Talk Pretty One Day,David Sedaris,2000.0,3.97,eng
1010,49,4.591836734693878,0.7336656637205049,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,1988.0,4.65,en-US
1011,52,3.9423076923076925,0.9784634119716069,People of the Book,Geraldine Brooks,2008.0,4.0,eng
1012,33,4.090909090909091,0.8427498280790527,The Secret Keeper,Kate Morton,2012.0,4.13,
1013,28,4.071428571428571,1.0862293403762302,Better Homes and Gardens New Cook Book  ,Better Homes and Gardens,1953.0,4.14,
1014,54,3.9444444444444446,0.9197347170165614,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,1984.0,4.08,eng
1015,55,3.727272727272727,1.0265827067859918,Steppenwolf,"Hermann Hesse, Basil Creighton",1927.0,4.11,eng
1016,29,3.586206896551724,0.9070061182385525,"The Surgeon (Rizzoli & Isles, #1)",Tess Gerritsen,2001.0,4.1,en-GB
1017,26,3.730769230769231,0.7775701798650619,The Girl You Left Behind,Jojo Moyes,2012.0,3.95,eng
1018,63,3.873015873015873,0.7723458921774223,"Royal Assassin (Farseer Trilogy, #2)",Robin Hobb,1996.0,4.21,eng
1019,44,3.6818181818181817,0.9829411790754311,Childhood's End,Arthur C. Clarke,1953.0,4.09,en-US
102,100,4.21,0.8444112167838028,Where the Wild Things Are,Maurice Sendak,1963.0,4.22,eng
1020,47,4.0212765957446805,1.0932472909744353,The Tale of Despereaux,"Kate DiCamillo, Timothy Basil Ering",2004.0,4.0,en-US
1021,35,3.8,1.1061326375099445,"Animal, Vegetable, Miracle: A Year of Food Life","Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser",2007.0,4.03,en-US
1022,38,4.552631578947368,0.645037959119886,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,2014.0,4.53,eng
1023,71,3.732394366197183,0.9703864690917626,"Lord of Chaos (Wheel of Time, #6)",Robert Jordan,1994.0,4.1,eng
1024,54,3.8518518518518516,1.0353635294018109,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",Alan Bradley,2009.0,3.81,eng
1025,14,3.5714285714285716,1.4525460784051258,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,2003.0,3.92,en-US
1026,33,3.9696969696969697,0.9180430438182244,"A Breath of Snow and Ashes (Outlander, #6)",Diana Gabaldon,2005.0,4.43,eng
1027,41,3.975609756097561,1.0603726910395417,"The Blood of Olympus (The Heroes of Olympus, #5)",Rick Riordan,2014.0,4.41,eng
1028,22,3.6363636363636362,0.7895420339517227,Truly Madly Guilty,Liane Moriarty,2016.0,3.55,eng
1029,18,4.722222222222222,0.5745131499601418,"Saga, Vol. 1 (Saga, #1)","Brian K. Vaughan, Fiona Staples",2012.0,4.25,eng
103,100,4.14,0.9536744462839244,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",1844.0,4.21,eng
1030,45,3.911111111111111,1.0622065845600979,The Art of Fielding,Chad Harbach,2011.0,3.99,eng
1031,45,3.8666666666666667,1.0357254813546264,A Moveable Feast,Ernest Hemingway,1964.0,4.04,eng
1032,34,3.7058823529411766,1.1154401703446664,"Fablehaven (Fablehaven, #1)",Brandon Mull,2006.0,4.08,eng
1033,42,3.8095238095238093,1.0415301885042128,"The Wide Window (A Series of Unfortunate Events, #3)","Lemony Snicket, Brett Helquist",2000.0,3.91,eng
1034,60,3.933333333333333,0.9363953001762076,"Grave Peril (The Dresden Files, #3)",Jim Butcher,2001.0,4.18,eng
1035,8,3.5,1.1952286093343936,Einstein: His Life and Universe,Walter Isaacson,2007.0,4.08,eng
1036,23,3.8260869565217392,1.192864158731316,"Effortless (Thoughtless, #2)",S.C. Stephens,2011.0,4.37,eng
1037,71,3.6056338028169015,1.0068178050448513,The Street Lawyer,John Grisham,1998.0,3.81,eng
1038,56,3.5,0.9723448696087954,"Roll of Thunder, Hear My Cry (Logans, #4)",Mildred D. Taylor,1976.0,3.79,eng
1039,48,3.2708333333333335,1.233220715579062,"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)","Seth Grahame-Smith, Jane Austen",2009.0,3.28,eng
104,100,3.64,1.1504939650586457,The Road,Cormac McCarthy,2006.0,3.95,eng
1040,20,3.8,1.1516578439248717,Let's Explore Diabetes with Owls,David Sedaris,2013.0,3.8,eng
1041,31,4.064516129032258,0.9286364150720398,The Idiot,"Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky",1868.0,4.18,eng
1042,56,3.5892857142857144,1.0050198679951232,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,1987.0,3.97,en-US
1043,4,4.25,0.9574271077563381,"Rodrick Rules (Diary of a Wimpy Kid, #2)",Jeff Kinney,2008.0,4.1,en-US
1044,22,4.0,0.9258200997725516,Why Not Me?,Mindy Kaling,2015.0,3.89,eng
1045,10,3.6,1.3498971154211057,"Four: A Divergent Story Collection (Divergent, #0.1 - 0.4)",Veronica Roth,2014.0,4.1,eng
1046,19,4.2105263157894735,0.6306035352846115,Modern Romance,"Aziz Ansari, Eric Klinenberg",2015.0,3.85,eng
1047,10,4.2,0.632455532033676,The One and Only Ivan,"Katherine Applegate, Patricia Castelao",2012.0,4.24,eng
1048,61,3.6885245901639343,0.9044516498327846,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997.0,4.07,en-US
1049,50,3.78,0.9100347604933137,"Elantris (Elantris, #1)",Brandon Sanderson,2005.0,4.17,eng
105,77,3.1818181818181817,1.03526341330515,"Allegiant (Divergent, #3)",Veronica Roth,2013.0,3.63,eng
1050,33,3.757575757575758,1.2507573463281916,"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,2008.0,3.96,eng
1051,45,3.8,1.057441165352389,One Thousand White Women: The Journals of May Dodd (One Thousand White Women#1),Jim Fergus,1998.0,3.88,eng
1052,45,3.6,0.9145291883606756,Handle with Care,Jodi Picoult,2009.0,3.96,eng
1053,60,3.95,1.0484047607545863,"Song of Susannah (The Dark Tower, #6)","Stephen King, Darrel Anderson",2004.0,3.98,eng
1054,35,3.1142857142857143,0.9631879839558708,"Reached (Matched, #3)",Ally Condie,2012.0,3.56,
